lr-AdamW,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER
0.001,649,,,,,,,,,,,
,649,3.162693977355957,5,,,,,,,,,
0.001,659,,,,,,,,,,,
,659,2.9975390434265137,5,,,,,,,,,
,659,,5,3.000706434249878,99.86708068847656,99.86708068847656,0.0,0.0,,,,
0.001,669,,,,,,,,,,,
,669,2.9555649757385254,5,,,,,,,,,
0.001,679,,,,,,,,,,,
,679,2.875321865081787,5,,,,,,,,,
0.001,689,,,,,,,,,,,
,689,3.012209892272949,5,,,,,,,,,
0.001,699,,,,,,,,,,,
,699,2.8340871334075928,5,,,,,,,,,
0.001,709,,,,,,,,,,,
,709,2.894681215286255,5,,,,,,,,,
0.001,719,,,,,,,,,,,
,719,2.868321180343628,5,,,,,,,,,
,719,,5,2.8483219146728516,100.0,100.0,0.0,0.0,,,,
,719,,5,,,,,,99.59207916259766,99.47396087646484,0.0,0.11811888962984085
0.001,729,,,,,,,,,,,
,729,2.906264305114746,6,,,,,,,,,
0.001,739,,,,,,,,,,,
,739,2.867748737335205,6,,,,,,,,,
0.001,749,,,,,,,,,,,
,749,3.1432833671569824,6,,,,,,,,,
0.001,759,,,,,,,,,,,
,759,2.829916477203369,6,,,,,,,,,
0.001,769,,,,,,,,,,,
,769,2.95432710647583,6,,,,,,,,,
0.001,779,,,,,,,,,,,
,779,2.9176883697509766,6,,,,,,,,,
,779,,6,2.983231544494629,99.97784423828125,99.97784423828125,0.0,0.0,,,,
0.001,789,,,,,,,,,,,
,789,2.9264931678771973,6,,,,,,,,,
0.001,799,,,,,,,,,,,
,799,2.8689489364624023,6,,,,,,,,,
0.001,809,,,,,,,,,,,
,809,2.871016025543213,6,,,,,,,,,
0.001,819,,,,,,,,,,,
,819,2.8938488960266113,6,,,,,,,,,
0.001,829,,,,,,,,,,,
,829,2.857146978378296,6,,,,,,,,,
0.001,839,,,,,,,,,,,
,839,2.8331410884857178,6,,,,,,,,,
,839,,6,2.838674783706665,99.95569610595703,99.95569610595703,0.0,0.0,,,,
,839,,6,,,,,,99.60537719726562,99.52562713623047,0.0,0.0797492042183876
0.001,849,,,,,,,,,,,
,849,2.852297782897949,7,,,,,,,,,
0.001,859,,,,,,,,,,,
,859,2.7998108863830566,7,,,,,,,,,
0.001,869,,,,,,,,,,,
,869,2.796414613723755,7,,,,,,,,,
0.001,879,,,,,,,,,,,
,879,2.8424410820007324,7,,,,,,,,,
0.001,889,,,,,,,,,,,
,889,2.8602442741394043,7,,,,,,,,,
0.001,899,,,,,,,,,,,
,899,2.791424512863159,7,,,,,,,,,
,899,,7,2.7868711948394775,99.93354034423828,99.93354034423828,0.0,0.0,,,,
0.001,909,,,,,,,,,,,
,909,2.6883363723754883,7,,,,,,,,,
0.001,919,,,,,,,,,,,
,919,2.719271183013916,7,,,,,,,,,
0.001,929,,,,,,,,,,,
,929,2.7346301078796387,7,,,,,,,,,
0.001,939,,,,,,,,,,,
,939,2.647078514099121,7,,,,,,,,,
0.001,949,,,,,,,,,,,
,949,2.8476176261901855,7,,,,,,,,,
0.001,959,,,,,,,,,,,
,959,2.8974575996398926,7,,,,,,,,,
,959,,7,2.8332884311676025,99.86708068847656,99.86708068847656,0.0,0.0,,,,
,959,,7,,,,,,99.45952606201172,99.38663482666016,0.0,0.07288829982280731
0.001,969,,,,,,,,,,,
,969,2.836164712905884,8,,,,,,,,,
0.001,979,,,,,,,,,,,
,979,2.734326124191284,8,,,,,,,,,
0.001,989,,,,,,,,,,,
,989,2.7228283882141113,8,,,,,,,,,
0.001,999,,,,,,,,,,,
,999,2.761221408843994,8,,,,,,,,,
0.001,1009,,,,,,,,,,,
,1009,2.7734947204589844,8,,,,,,,,,
0.001,1019,,,,,,,,,,,
,1019,2.7191905975341797,8,,,,,,,,,
,1019,,8,2.643406629562378,97.47452545166016,97.43021392822266,0.0,0.04430660232901573,,,,
0.001,1029,,,,,,,,,,,
,1029,2.662485361099243,8,,,,,,,,,
0.001,1039,,,,,,,,,,,
,1039,2.614570140838623,8,,,,,,,,,
0.001,1049,,,,,,,,,,,
,1049,2.6684038639068604,8,,,,,,,,,
0.001,1059,,,,,,,,,,,
,1059,2.636160135269165,8,,,,,,,,,
0.001,1069,,,,,,,,,,,
,1069,2.6385674476623535,8,,,,,,,,,
0.001,1079,,,,,,,,,,,
,1079,2.570146322250366,8,,,,,,,,,
,1079,,8,2.506657838821411,95.52503204345703,95.30349731445312,0.0,0.22153301537036896,,,,
,1079,,8,,,,,,98.30207061767578,98.14495849609375,0.0,0.15711352229118347
0.001,1089,,,,,,,,,,,
