lr-AdamW,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER
0.001,9,,,,,,,,,,,
,9,11.412259101867676,0,,,,,,,,,
0.001,19,,,,,,,,,,,
,19,19.156490325927734,0,,,,,,,,,
0.001,29,,,,,,,,,,,
,29,6.435214996337891,0,,,,,,,,,
0.001,39,,,,,,,,,,,
,39,4.634836196899414,0,,,,,,,,,
0.001,49,,,,,,,,,,,
,49,3.555223226547241,0,,,,,,,,,
0.001,59,,,,,,,,,,,
,59,3.4367120265960693,0,,,,,,,,,
,59,,0,3.5981624126434326,100.0,100.0,0.0,0.0,,,,
0.001,69,,,,,,,,,,,
,69,2.904085159301758,0,,,,,,,,,
0.001,79,,,,,,,,,,,
,79,2.6784729957580566,0,,,,,,,,,
0.001,89,,,,,,,,,,,
,89,2.4885294437408447,0,,,,,,,,,
0.001,99,,,,,,,,,,,
,99,2.6741859912872314,0,,,,,,,,,
0.001,109,,,,,,,,,,,
,109,2.72278094291687,0,,,,,,,,,
0.001,119,,,,,,,,,,,
,119,2.2587716579437256,0,,,,,,,,,
,119,,0,2.036374568939209,70.42534637451172,59.680992126464844,0.11076650768518448,10.633584022521973,,,,
,119,,0,,,,,,96.21375274658203,71.20172882080078,7.993180751800537,17.018848419189453
0.001,129,,,,,,,,,,,
,129,2.0369372367858887,1,,,,,,,,,
0.001,139,,,,,,,,,,,
,139,1.8566052913665771,1,,,,,,,,,
0.001,149,,,,,,,,,,,
,149,1.719604730606079,1,,,,,,,,,
0.001,159,,,,,,,,,,,
,159,1.6819748878479004,1,,,,,,,,,
0.001,169,,,,,,,,,,,
,169,1.5367183685302734,1,,,,,,,,,
0.001,179,,,,,,,,,,,
,179,1.4980565309524536,1,,,,,,,,,
,179,,1,1.1792752742767334,37.48338317871094,14.133806228637695,2.326096534729004,21.023483276367188,,,,
0.001,189,,,,,,,,,,,
,189,1.5127211809158325,1,,,,,,,,,
0.001,199,,,,,,,,,,,
,199,1.5160784721374512,1,,,,,,,,,
0.001,209,,,,,,,,,,,
,209,1.6836798191070557,1,,,,,,,,,
0.001,219,,,,,,,,,,,
,219,1.3939614295959473,1,,,,,,,,,
0.001,229,,,,,,,,,,,
,229,1.3723866939544678,1,,,,,,,,,
0.001,239,,,,,,,,,,,
,239,1.4177393913269043,1,,,,,,,,,
,239,,1,1.0646721124649048,33.58440399169922,12.073549270629883,2.303943395614624,19.206911087036133,,,,
,239,,1,,,,,,49.56819152832031,22.00286865234375,2.8143365383148193,24.750986099243164
0.001,249,,,,,,,,,,,
,249,1.301662802696228,2,,,,,,,,,
