lr-AdamW,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER
,599,,4,,,,,,8.930410385131836,3.039496898651123,2.1251766681671143,3.7657363414764404
0.001,609,,,,,,,,,,,
,609,0.3077954947948456,5,,,,,,,,,
0.001,619,,,,,,,,,,,
,619,0.23064973950386047,5,,,,,,,,,
0.001,629,,,,,,,,,,,
,629,0.32574355602264404,5,,,,,,,,,
0.001,639,,,,,,,,,,,
,639,0.24499987065792084,5,,,,,,,,,
0.001,649,,,,,,,,,,,
,649,0.2651960551738739,5,,,,,,,,,
0.001,659,,,,,,,,,,,
,659,0.2716277539730072,5,,,,,,,,,
,659,,5,0.8716652393341064,16.681434631347656,3.5002214908599854,2.171023368835449,11.010190963745117,,,,
0.001,669,,,,,,,,,,,
,669,0.37540191411972046,5,,,,,,,,,
0.001,679,,,,,,,,,,,
,679,0.29856395721435547,5,,,,,,,,,
0.001,689,,,,,,,,,,,
,689,0.31880131363868713,5,,,,,,,,,
0.001,699,,,,,,,,,,,
,699,0.30152180790901184,5,,,,,,,,,
0.001,709,,,,,,,,,,,
,709,0.27175968885421753,5,,,,,,,,,
0.001,719,,,,,,,,,,,
,719,0.2471548616886139,5,,,,,,,,,
,719,,5,0.889373779296875,16.637128829956055,4.253433704376221,1.7722641229629517,10.611431121826172,,,,
,719,,5,,,,,,8.692245483398438,2.9941024780273438,2.183027982711792,3.5151147842407227
0.001,729,,,,,,,,,,,
,729,0.31109654903411865,6,,,,,,,,,
0.001,739,,,,,,,,,,,
,739,0.23519134521484375,6,,,,,,,,,
0.001,749,,,,,,,,,,,
,749,0.2140418142080307,6,,,,,,,,,
0.001,759,,,,,,,,,,,
,759,0.29122215509414673,6,,,,,,,,,
0.001,769,,,,,,,,,,,
,769,0.26009857654571533,6,,,,,,,,,
0.001,779,,,,,,,,,,,
,779,0.2690863311290741,6,,,,,,,,,
,779,,6,0.9184995889663696,16.96942901611328,3.3673017024993896,2.4590163230895996,11.143110275268555,,,,
0.001,789,,,,,,,,,,,
,789,0.28012093901634216,6,,,,,,,,,
0.001,799,,,,,,,,,,,
,799,0.26294469833374023,6,,,,,,,,,
0.001,809,,,,,,,,,,,
,809,0.2838873863220215,6,,,,,,,,,
0.001,819,,,,,,,,,,,
,819,0.2286704033613205,6,,,,,,,,,
0.001,829,,,,,,,,,,,
,829,0.35019513964653015,6,,,,,,,,,
0.001,839,,,,,,,,,,,
,839,0.21901224553585052,6,,,,,,,,,
